data,contaminant,lat,lng,valor
2025-02-14,PM10,41.48197,2.1882975,40
2025-02-14,PM10, 41.469826,2.1842353,60
2025-02-14,PM10,41.4508,1.9748996,80
2025-02-14,NO2,41.058212,0.43969983,15
2025-02-14,NO2,41.48197,2.1882975,30
2025-02-14,NO2,41.469826,2.1918,45
2025-02-14,PM2.41.4508,1.9748996,5
2025-02-14,PM2.41.058212,0.43969983,10
2025-01-06,PM10,41.48197,2.1882975,40
2025-01-06,PM10, 41.469826,2.1842353,60
2025-01-06,PM10,41.4508,1.9748996,80
2025-01-06,NO2,41.058212,0.43969983,15
2025-01-06,NO2,41.48197,2.1882975,30
2025-01-06,NO2,41.469826,2.1918,45
2025-01-06,PM2.41.4508,1.9748996,5
2025-01-06,PM2.41.058212,0.43969983,10
